positivity,text
1,the reduction was prompted by continuation of the dropin demand for borrowed funds either from banks or from other lenders in the money market 
1,many forecasters who had initially slashed estimates for growth next year have been nudging them upward of late prompted by successive sets of data indicating that the stock market tremors have yet to shake the economy foundations 
1,during the next several weeks however it appears that there is no persuasive case to be made for either higher or lower rates 
1,the upswing was helped along by new signs of diplomatic efforts to ease the crisis in the middle east and by some favorable economic developments on the home front 
1,from the opening on nothing seemed to relieve the gloom although the market did recover somewhat on news of the various mideast peace efforts said william sullivan jr senior vice president at dean witter reynolds referring to the announcement that iraq foreign minister would meet with secretary of state james baker in switzerland next week but the market ended as weak as it opened it seems that everyone either decided to cash in profits and many had nice profits to
2,the standard poor index rose points to only of the index categories declined gold health care metals photography imaging and tobacco in addition the nasdaq composite index increased points to and the american stock exchange market value index advanced points to 
1,over all economic condition no conceivable increase in the gross national product would stir these backwaters the report said 
1,by john abele the stock market ended the week in blaze of glory yesterday as prices advanced on broad front in very heavy trading 
1,top administration aides reinforced that point when they said the white house would continue to stress spending cuts as the best way to deal with the deficit 
1,reflecting the upward trend the dow jones industrial average finished ahead points at its high for the session was registered at m when the average was up points in the preceding session
0,washington march the united states consumer price index pushed up chiefly by higher food prices set record in february the labor department reported today 
2,but with oil prices now on the rise again the price of futures contract for major american crude oil closed above barrel today for the first time in three months there is also widespread agreement that the best news is past and that future inflation reports perhaps beginning with next wednesday report on consumer prices would show advances however modest 
1,we re probably now in one commented david resler chief economist for nomura securities international in new york there is absolutely no area to be optimistic about jobs in manufacturing for example tumbled by further in september the second biggest loss since factory employment began to fall in early total of such jobs have disappeared since then of them in the last two months 
1,volume on the new york stock exchange was shares against on tuesday of the issues traded fell rose and closed unchanged there were twenty one highs and sixteen lows 
2,this market offers corporate borrowers cheaper financing than either bank loans or the bond market and
1,since october the fed has de emphaslzed interest rates and general economic conditions in forming monetary policy and has concentrated instead on maintaining steady growth of the money supply 
0,they don put it that way the ghost of the when the inflation rate almost tripled in the blink of three years is still powerful enough so that almost no one dares to offer three cheers for rising inflation but the ghost is losing its spooktness there have been too many months in which sharply rising inflation has been expected feared spotted down the block but never in the house 
1,until the closing period the share list had shown tendency to adhere to firm trend with the rail and steel divisions setting the pace the two groups succumbed to the late series of offerings but managed to recover and exhibit thin margin of advantage 
1,government bond prices climbed as much as point and recently marketed corporate bonds frequently advanced point or more new issues of tax exempt bonds were reported selling quickly 
1,better demand surprising for the second week improving consumer demand in pre easter sales has given department store merchants pleasant surprise dollar sales volume for new york and brooklyn department stores for the week ended last saturday was percent higher than for the corresponding week last year according to yesterday flash report from the federal reserve bank of new york while this sounds small it was important as the second plus sign to appear in recent months as well as the second in row retailers last week had only hoped to come up with minus percent or break even for the four week period ended last saturday volume was percent under that for the comparable period both the week and four week periods were down last year from levels of being off and percent respectively in flash figures 
1,the united states has set proper economic course one that if pursued will lead by the end of to renewed expansion progressively less inflation an abatement of strikes and high wage settlements declining interest rates and rising sales and profits albert cox jr told financial executives at meeting yesterday sponsored by the american management association 
1,the university of michigan final consumer sentiment index for july rose to from in june the michigan index is component of the government leading economic indicators and is seen as sign of future consumer spending for homes and durable goods 
0,news of slow holiday retail sales for second consecutive weekend during period that normally accounts for nearly half of the year retail volume helped to raise the prospects of fed easing soon to reinvigorate an economy that is lossing its wind 
2,but warning from federal reserve governor laurence meyer that the economy might be overheating raised fears that the fed will increase interest rates when it meets again next month 
1,but not quite everyone is convinced that mr greenspan latest prognostication or for that matter the unbroken economic expansion since proves that he has all the answers for while recession free six years may have marginalized his critics it has not really established that the fed has found golden mean between stableprices and economic growth 
2,the annual yield on three month treasury bills has soared almost three tenths of percentage point to percent since the federal reserve nudged up rates on feb 
1,march retail sales were up two tenths of percent and february data were revised to percent rise from eight tenths of percent january was revised to gain of percent from percent greg jones an economist with briefing com market analysis firm in menlo park calif said the data implied percent first quarter increase in consumption which was bearish for the market increasing the risks of further fed tightenings 
1,but the dow ended november at or points higher than it closed yesterday when it rose points to unless it rallies by the end of next week buffalo would seem likely to win the game since lower dow indicates victory by the team whose name appears first alphabetically 
1,last month mr greenspan the chairman of the federal reserve told lawmakers that inflation might be overstated by as much as percentage points in official government figures he suggested that simple fix in the consumer price index could reap big savings how trimming the inflation numbers would mean lower payouts to social security beneficiaries other recipients of federal benefit programs and retired government workers 
1,in late new york trading the dollar was quoted at japanese yen down from yen late friday the dollar changed hands at german marks down from however the canadian dollar lost ground to the united states dollar selling at cents down from cents on friday 
1, the fed recent credit easing actions are consistent with the view that inflationary pressures in the economy are being successfully managed said dirk van dongen president of the national association of wholesaler distributors trade group whose members pay the producer prices the october figures confirm that analysis he said adding that the data indicate stability in inflation into early 
1,treasury bill rates dropped dramatically and the discount rate on the billion of three month securities auctioned yesterday was more than half percentage point lower than week earlier this is substantial drop and it took the treasury bill rate to its lowest level since early june last year 
1,democrats said the republican plan benefited big companies at the expense of working people and those who have lost jobs and would do little to help the economy pull out of the economic downturn 
0,the market has been swinging in recent weeks with each new scrap of data that might influence the fed as it considers future interest rate hikes many analysts expect the choppy trading to continue 
1,the opening of the market showed little change from saturday close although bethlehem steel started at off point creeping decline set in midway through the first hour and by midday chrysler showed loss of points there were fractional inroads in the general list volume fell to shares during the noon period the softer trend continued throughthe end with sharp rise in selling during the final hour and closing quotations around the lows of the session 
1,it might be pointed out too that the market seldom gets into serious difficulties when so many fear business depression it is when they don tas in when many thought the new era would last indefinitely that disaster can strike at this juncture there are enough cross currents of opinion to bring steadying effect to prices the ending of the excess profits tax and reduction in individual income taxes beginning next year could easily offset the psychological effect of mild business recession 
0,with their lot seems extraordinary after all even the great middle class is well advertised these days as believing itself burdened down by onerous taxes inflation an omnipresent federal bureaucracy the high costs of medical care and college tuition and the unfair demands of the welfare classes 
0,washington feb this week meeting of the federal reserve which stands almost alone these days in managing the economy will provide important indications of its goals for growth and interest rates and will test its resistance to political influence 
1,time deposits at commercial banks including large certificates of deposit rising by to percent 
1,decreases of in demand deposits adjusted and in demand deposits credited to domestic commercial banks 
1,in the treasury weekly auction of three and six month bills which had been delayed because of the lincoln birthday holiday on monday the three month bill rate was slightly lower than in the previous week while the six month bill rate was the highest since jan 
1,mutual fund companies began to report modest level of redemptions as small investors began to leave the market as buyers and sellers flooded the markets with orders volume records were broken on the new york stock exchange where historic million shares changed hands and on the nasdaq market where record million shares were traded this frenzy was reflection of genuine confusion in the marketplace as investors wondered where stocks would head next 
0,innovations have allowed many smaller companies to gain access to the commercial paper market once the exclusive preserve of blue chip companies also companies whose credit ratings were too low to make their offerings attractive have teamed with insurance companies in effect renting an insurance company better credit standing for guarantee on the paper 
1,until the closing period the share list had shown tendency to adhere to firm trend with the rail and steel divisions setting the pace the two groups succumbed to the late series of offerings but managed to recover and exhibit thin margin of advantage 
1,the k lasser tax report recently pointed out that the number of middle management jobs will reach
0,president obama has shown both courage and sound judgment pressing for quick action on comprehensive health care reform even in the midst of the country deep economic crisis he has rightly stressed the urgency of reining in skyrocketing health care costs chat are straining the budgets of families businesses and federal and state governments 
1,washington june the wage stabilization board unanimously approved tonight productivity wage increases which meet the conditions and limitations of the general motors agreement with the united auto workers cio
