_unit_id,positivity,text
729487690,9,"WASHINGTON, Feb. 26 The growth of bank credit this year will be substantially less than in 1968, but it will be somewhat higher through the rest of the year than it was in January and February, the staff of the Federal Reserve projected today."
729487887,9,"A main culprit in the downward revision was the trade deficit. That shaved seven-tenths of a percentage point off the first-quarter gross domestic product, which was twice as much as estimated a month ago. Consumers also spent more modestly, and businesses did not increase spending to buy equipment and to build Inventories as much as previously thought."
729488318,9,"The rise in the overall confidence index was to 106.1 from 105.6, according to a subscriber, with a major component, the appraisal of current conditions, surging to"
729488698,9,"The volume of trading also perked up yesterday, amounting to 4.36 million shares on the New York Stock Exchange, against 3.7 million on Thursday. Thursday's volume, was the smallest since last August."
729488787,9,"Even in the 1980's, the recovery on Wall Street created hundreds of thousands of jobs, not even counting spinoff employment for building maintenance people and limo drivers. These were the glory days when midlevel clerical workers were pocketing $75,000 to $80,000 in salary and bonuses, and secretaries who worked past 6:30 got overtime, dinner money and a driver to take them home."
729489301,9,He told the House Banking Committee that increased Government purchases of mortgages from savings-and-loan associations and other mortage lenders would be much more effective in relieving the mortgage-money shortage than attempts to reduce bank interest rates.
729489490,9,"Inflation is disappearing act continued in March, with consumer prices dropping a steep four-tenths of 1 percent, the same as in February. Falling oil prices get most of the credit: Gasoline dropped a record 12 percent. But analysts have been warning Americans not to get too smug about the permanency of the drop. Once oil bottoms out, they say, inflation is likely to rise again. Indeed, costs of services, an increasingly large segment of the economy, rose in March."
729489815,9,The credit markets recovered smartly from President Nixon's jolting Vietnam address last Monday night and managed a steady performance in the face of the mining of North Vietnamese ports.
729490147,9,"Low mortgage rates have lilted the nation's long housing boom to a new level, creating jobs and wealth but also worries that some local markets have turned into bubbles. Mortgage refinancing has also taken off again, injecting cash into households at a time when incomes are growing no faster than inflation for most workers."
729490197,9,"They finally got their answer last week, as the Federal Reserve raised the federal funds rate by a quarter of a percentage point, to 1.25 percent."
729490427,9,"Cash continues to pour into the most aggressive sector of mutual funds, those that investor, the stocks of the smallest companies. The smaller the better, the rule seems to be. According to Lipper Analytical Services, funds that specialize in small-company stocks gained 18.4 percent from the start of the year through mid-June and rose 33.4 percent over the last year. Many funds that focus on micro-cap stocks have scored even bigger gains."
729491505,9,"The average interest rate had been 7.65 percent at the end of the previous week, but it stood at 7.52 percent for the week ending March 12 and 7.51 percent, the lowest rate since May 1973, for the week ended March 5."
729491673,9,"A December spurt of 222,000 in employment pushed the gain for the last two months of 1976 to 579,000, capping a year in which the number of persons with jobs climbed by three million."
729487634,8,"Nasdaq stocks, usually volatile, led the market higher beginning in October, on anticipation that a Clinton Presidency would help smaller companies. "
729487641,8,"This concern seems comical in retrospect. Productivity's upward trajectory has become even steeper in the decades since 1930, yet people are working just as hard as ever."
729487743,8,"Ronald Saplro, chief currency trader at the Continental Illinois National Bank and Trust Company in Chicago, said the dollar's rise was propelled by interest rate fears that are resulting from signs of continued economic strength. Higher interest rates in the United States make the dollar a more attractive investment."
729488206,8,"Sticker prices at colleges and universities rose another 4 to 5 percent last year, capping nearly two decades in which they increased two and often three times faster than inflation. Price tags at top private schools are approaching $35,000 this fall. Even with 70 percent of students gening financial aid (including a doubling of annual loan volume in the last five years), the actual price families pay has still risen far faster than incomes, especially for middle and low-income families."
729488219,8,"The grim situation facing the Navajos reflects the broader economic-malaise afflicting the nearly 700,000 Indians who live on reservations that are supervised and supported to a large degree by the Federal Government and that lack any viable private economy. According to the 1980 census, there are 1.4 million Indians living in the United States."
729488222,8,"This month more than 16 million people across the country will line up in banks and savings institutions, coupon books in hand, to make the first few deposits in their 1970 Christmas Club accounts."
729488335,8,"WASHINGTON, Nov. 24 Americans enjoyed last year one of the largest post-war increases in the standard of living, the Federal Reserve Bulletin said tonight; Nearly all of the increase in dollar outlays over the past year represents a gain in real consumption, as average consumer prices have changed relatively little,'' it declared. The growth in per capita real takings of goods and services during the I past year was one of the largest in the post-war period."
729488354,8,"The only real move of the day occurred after comments in Zurich by Deputy Secretary of. the Treasury Lawrence H., Summers. He said he was more optimistic about the U.S. economy than at any other time in my career."
729488433,8,"And that's way too optimistic. The Congressional Budget Office operates under ground rules that force it to wear rose-colored lenses. If you take into account as the C.B.O. cannot the effects of likely changes in the alternative minimum tax, include realistic estimates of future spending and allow for the cost of war and reconstruction, it's clear that the 10-year deficit will be at least $3 trillion."
729488435,8,Department store sales in the nation in the week before Christmas zoomed to a point 21 percent above the level of the com-parkble week last year. It was the thirty-sixth consecutive weekly gain reported bv the Federal Reserve Board and the largest gain for a single week in three years.
729488438,8,For the four weeks ended Dec. 21 the nation-wide gain was 8 percent. For the year to date the increase was 7 percent.
729488450,8,The Senate passed today a $6.1 bilIion appropriations bill aimed at either creating or continuing a million public service jobs both to stimulate the economy and to keep workers off unemployment insurance and welfare.
729488514,8,"Winners outnumbered losers, 832 to 369, the broadest advance of the week. The upswing carried 95 stocks to new 1966-67 highs, compared with 70 on Thursday. For the first time in two weeks, no new lows were"
729488523,8,"Performance so far in 1986 has been quite impressive. Standard & Poor's food stock index gained 28.4 percent through last Wednesday. In the same period, the S&P 500-stock index rose 16 percent. This follows a virtuoso performance in 1985, when the food group soared 59.3 percent in value abetted by takeovers or leveraged buyouts of three components. General Foods, Nabisco Brands and Beatrice Companies. The S&P 500 rose 26.3 percent in what ranked as a banner year for stocks over all."
729488718,8,"11,987,000 people were unemployed and looking for work, an increase of 436,000. This resulting seasonally adjusted rate of 10.8 percent is the highest since 1940, when the average for the year was 14.6 percent."
729488786,8,"In 1968, when Wall Street was enjoying a similarly long-running market boom, the unemployment rate in New York fell to 3.1 percent, much lower than the national average and lower than in any other big city except Dallas. The unemployment rate among blacks was only 4 percent, about half the level in the rest of the nation."
729488798,8,"This morning was a continuation of the idea that corporate earnings were positive, said Hank Herrmann, chief investment officer at Waddell & Reed in Kansas City, Kan. But in the afternoon it gravitated to the idea that positive earnings are the result of an economy that is too strong."
729488828,8,"Volume on the American Stock Exchange was unchanged at 810,000 shares but the tone was much stronger than on the Big Board. The four most active stocks on the junior exchange were all higher and the fifth most active was unchanged Analysts were still arguing market theories. One suggested that a good many investors were still looking for opportunities to take their profit and run, while others were buying on the dips. Since there are no large orders on the specialists' books, he said, the market cannot generate much volume in either direction and is apt to make a line formation for some weeks."
729488838,8,"It is also known that the amount of money paid employers by the capital stock insurance companies to cover such ""dishonesty claims"" increased by about 100 percent from 1914 to 1954. The insurance companies now find they process nearly 50,000 embezzlement claims a year."
729488985,8,"HOW unemployment, rapid economic growth, the lowest rate of inflation in decades: what more could a Federal Reserve chairman want? Nothing, if the views of a respectful Congress, art enthusiastic financial industry and a worshipful press are to be taken at face value. In fact Alan Greenspan is in a bind, trapped between the public's expectation of perpetual economic bliss and evidence that even the Goldilocks Economy is not immune to the ailments of inflation and recession."
729489017,8,Good economic news is a negative for the fixed-income securities market as it raises the specter of higher inflation and interest rates on newer issues.
729489239,8,"While this is not a tremendous increase, he added, it is very gratifying in that it does indicate stability and accomplishment on the part of black businesses who, under normal circumstances, find it difficult to prosper, and are always hardest hit in times of economic stress."
729489255,8,"The economic recovery, like the Energizer Bunny, just keeps going and going. In spite of tax increases, sharp rises in interest rates this year and widespread skepticism that"
