_unit_id,positivity,text
729487630,,The stock market accelerated its screeching swerve away from Nasdaq stocks yesterday as investors piled into the Dow industrials and utilities.
729487631,6,"The Nasdaq composite index, home of technology companies large and small, fell 1.7 percent even as the Dow Jones industrial average rose 20.81 points, to 3,342.99."
729487632,5,"The bond market continued to rally, propelling (he normally placid ,' Dow Jones utility average to a gain of 6.01	points, or 2.5,6 percent, to 240.61 ‰ЫУ the best one-day.advance, in percentage terms, in nearly five years. The yield on the 30-year Treasury bond fell to another record low. (Page ‰Ыў D18.J"
729487633,4,"The Nasdaq market was stricken by the collapse of Synergen, a biotechnology company that lost more than tWo-thirds of its value after reporting discouraging test results for its most promising drug. With investors already fearing that the Clinton Administration will impose tight controls on health-care costs, the selloff of the whole biotech industry intensified. Some of Nasdaq‰ЫЄs leading computer issues, which have been institutional favorites, pulled back as well."
729487634,3,"uring the market‰ЫЄs split ‰ЫУ was 4.26 percentage points yesterday, the largest gap since the wild days of the October 1987 crash. Nasdaq stocks, usually volatile, led the market higher beginning in October, on anticipation that a Clinton Presidency would help smaller com‰Ыч panies. Utilities, on the other hand, are usually havens for retirees seeking Income from high dividends and for money managers too scared to hold anything more risky, but still expected to keep their money in stocks.	еИ‰Ыў"
729487635,4,"Ore. ‰ЫУ Fishing and timber are not what they once were, and the recession lias slowed the rush for second hollies. So it seemed the fate of i his small port was clear: more 't niggle."
729487636,4,"10,000	people, pulled off a stun-ling economic upset. Last summer. it outbid and outmaneu-vereil three ports in Washington to become the home, beginning in 2011, of the Pacific Fleet of the National Oceanic and Atmospheric Administration."
729487637,7,As many as 175 well-paying lederal jobs are on the way. Huge research vessels will dock across Irom rusty old salmon boats beneath the New Deal-era bridge that spans Yaquina Bay.
729487638,,""" We re going to be the Woods Hole of the West,‰Ыќ said Michael Wilkinson, who runs a bed and ireakfast on a floating riverboat n tile bay, referring to the ocean-igraphic institution on Cape Cod."
729487639,,"Yet while Newport celebrates, Washington, where the oceanic (Iministration has maintained ‰Ыў ls Pacific Fleet on Lake Union in ‰Ы_* Seattle for nearly half a century,"
729487640,7,"Productivity growth has raised living standards in the United States more than 40-fold since 1790. In his 1930 essay, ‰ЫПEconomic Possibilities for Our Grandchildren,"" John Maynard Keynes speculated about how the continuation of nnnijn growth might transform our oLcNL lives. Like many other dlstin-guished thinkers, both before ""frank‰Ыќ	ani*	a^ter*he predicted that people would havejjreat difficulty filling their days once it became unnecessary to spend more than u token amount of time working."
729487641,2,"This concern seems comical in retrospect. Productivity‰ЫЄs upward trajectory has become even steeper in the decades since 1930, yet people are working just as hard as ever."
729487642,,"How could Keynes, the most influential economist of the 20th century, have made such an absurd prediction? It would be one thing if he had merely overlooked the possibility of boundless human desire. Yet he explicitly considered this possibility, only"
729487643,,"Robert H. Frank, an economist at the Johnson School of Cornell University, is the coauthor, with Ben S. Bernanke, of ""Principles of EconomicsE-mail:	rhf3"
729487644,,"Thus, he wrote that human needs fall into two classes: basic, or absolute, needs, which are independent of what others have, and relative needs, which we feel ‰ЫПonly if their satisfaction lifts us above, makes us feel superior to, our fellows.‰Ыќ"
729487645,,A favorite indoor sport of the financial community is comparing the performance of mutual funds With that of leading stock market averages.
729487646,,"The funds themselves are among the leading practitioners pf the art, especially when the figures are favorable for them."
729487647,,"Some financial analysts, however, feel that.the practice often results in confusion. They argue that the differences in the structure and purpose of market averages and mutual funds make it necessary to pay more attention to the objectives and methods of the funds rather than how their performance compares with the market averages."
729487648,,#NAME?
729487649,,"The association notes that there are many different types of funds and that each has a particular long-term investment goal. Among the goals are longterm growth of capital, income growth, conservation of capital, income or a combination of several of these."
729487650,,"WASHINGTON - Faced with worsening forecasts for the economy, President-elect Barack Obama is expanding his economic recovery plan and will seek to create or save 3 million jobs in the next two years, tip from a goal of 2.5 million jobs set just last month, several advisers to Mr. Obama said Saturday."
